Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia temprana,masculino,sí,clase media-alta,grande,sin educación,licenciatura,soltero,1.0,albergue,nuclear,6,mixto,público,4,3–5 km,una vez a la semana,transporte privado,moderado,leve,nunca,regular,regular,regular,casi nunca,rara vez,bastante a menudo,casi nunca,bajo
adolescencia tardía,femenino,sí,clase media-alta,grande,secundaria,sin educación,viudo,1.4,con familiares,conjunto,6,mixto,público,2,menos de 1 km,dos veces a la semana,transporte público,alto,moderado,nunca,nunca,regular,nunca,casi nunca,bastante a menudo,rara vez,bastante a menudo,bajo
otros,masculino,sí,alta,grande,secundaria,sin educación,viudo,1.9,albergue,conjunto,1,mixto,privado,2,3–5 km,casi todos los días,a pie,alto,leve,nunca,regular,nunca,regular,algunas veces,casi siempre,algunas veces,casi nunca,bajo
adolescencia tardía,masculino,no,alta,grande,posgrado,sin educación,viudo,0.0,con familiares,conjunto,3,mixto,privado,2,3–5 km,dos veces a la semana,a pie,alto,grave,nunca,nunca,regular,ocasional,casi siempre,a veces,bastante a menudo,casi siempre,bajo
otros,femenino,sí,clase media-alta,mediano,sin educación,posgrado,separado,3.4,con padres,conjunto,1,unisexo,privado,1,menos de 1 km,una vez a la semana,transporte público,bajo,moderado,regular,regular,ocasional,regular,casi nunca,rara vez,casi nunca,rara vez,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,preparatoria,primaria,divorciado,3.0,con familiares,nuclear,4,unisexo,privado,2,menos de 1 km,dos veces a la semana,transporte privado,bajo,moderado,ocasional,regular,nunca,nunca,casi siempre,casi siempre,casi nunca,casi nunca,bajo
otros,masculino,sí,clase media-alta,pequeño,primaria,licenciatura,separado,3.9,con familiares,conjunto,5,unisexo,privado,3,3–5 km,una vez a la semana,a pie,bajo,muy poco estrés,nunca,nunca,nunca,nunca,casi nunca,casi nunca,casi siempre,casi siempre,bajo
otros,femenino,no,alta,grande,preparatoria,posgrado,divorciado,2.5,con padres,nuclear,5,unisexo,privado,2,menos de 1 km,casi todos los días,transporte privado,moderado,leve,regular,nunca,ocasional,nunca,bastante a menudo,bastante a menudo,rara vez,rara vez,moderado
otros,masculino,sí,clase media-alta,grande,sin educación,primaria,viudo,0.0,con padres,nuclear,4,unisexo,público,2,1–3 km,nunca,transporte privado,moderado,grave,regular,ocasional,regular,nunca,casi siempre,bastante a menudo,casi siempre,bastante a menudo,bajo
otros,femenino,sí,clase baja,grande,sin educación,posgrado,casado,0.5,con familiares,conjunto,6,mixto,público,2,menos de 1 km,dos veces a la semana,transporte privado,alto,mayor,ocasional,ocasional,ocasional,regular,casi nunca,bastante a menudo,algunas veces,casi nunca,bajo
adolescencia media,femenino,sí,clase baja,mediano,secundaria,posgrado,separado,0.2,con familiares,conjunto,5,mixto,privado,2,3–5 km,una vez a la semana,a pie,moderado,mayor,ocasional,nunca,nunca,regular,casi siempre,a veces,casi nunca,casi siempre,bajo
adolescencia temprana,femenino,no,clase media-baja,pequeño,sin educación,sin educación,soltero,0.3,con familiares,nuclear,6,mixto,público,3,menos de 1 km,una vez a la semana,transporte público,alto,moderado,regular,ocasional,ocasional,regular,casi siempre,bastante a menudo,casi siempre,casi nunca,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,sin educación,sin educación,viudo,2.3,con padres,nuclear,3,mixto,privado,2,más de 5 km,casi todos los días,transporte público,alto,moderado,ocasional,regular,regular,nunca,bastante a menudo,casi nunca,casi siempre,casi siempre,bajo
otros,masculino,sí,clase media-baja,grande,secundaria,secundaria,viudo,3.7,con familiares,nuclear,5,unisexo,público,4,3–5 km,nunca,a pie,bajo,muy poco estrés,ocasional,nunca,ocasional,ocasional,casi nunca,casi siempre,algunas veces,casi siempre,bajo
otros,femenino,no,clase baja,grande,secundaria,licenciatura,soltero,0.0,con padres,nuclear,2,unisexo,público,1,1–3 km,nunca,transporte privado,moderado,moderado,ocasional,ocasional,ocasional,ocasional,bastante a menudo,casi nunca,casi siempre,bastante a menudo,bajo
otros,masculino,sí,clase media-baja,pequeño,primaria,posgrado,viudo,1.0,con familiares,conjunto,4,mixto,público,4,3–5 km,casi todos los días,transporte público,moderado,moderado,ocasional,nunca,ocasional,ocasional,casi siempre,casi siempre,algunas veces,bastante a menudo,bajo
otros,masculino,sí,clase baja,grande,sin educación,licenciatura,separado,1.7,con familiares,conjunto,5,mixto,privado,5,menos de 1 km,casi todos los días,transporte privado,alto,leve,ocasional,regular,regular,nunca,casi nunca,a veces,bastante a menudo,algunas veces,bajo
adolescencia tardía,femenino,no,clase baja,mediano,primaria,primaria,viudo,2.2,albergue,conjunto,2,mixto,privado,6,3–5 km,dos veces a la semana,a pie,alto,leve,ocasional,nunca,regular,nunca,algunas veces,rara vez,casi nunca,casi siempre,bajo
adolescencia media,femenino,no,alta,pequeño,secundaria,secundaria,viudo,1.9,con padres,nuclear,2,unisexo,público,3,más de 5 km,casi todos los días,transporte público,moderado,leve,ocasional,regular,ocasional,ocasional,bastante a menudo,rara vez,bastante a menudo,casi nunca,bajo
adolescencia media,masculino,sí,clase baja,grande,primaria,secundaria,soltero,2.4,con padres,conjunto,2,mixto,privado,2,3–5 km,dos veces a la semana,transporte privado,moderado,moderado,regular,ocasional,regular,ocasional,algunas veces,casi nunca,casi siempre,casi siempre,bajo
adolescencia temprana,femenino,no,clase baja,mediano,secundaria,primaria,viudo,4.1,con familiares,nuclear,5,mixto,privado,2,más de 5 km,una vez a la semana,transporte público,alto,moderado,ocasional,regular,nunca,nunca,casi nunca,bastante a menudo,casi siempre,casi nunca,moderado
adolescencia temprana,masculino,no,alta,mediano,secundaria,secundaria,soltero,2.6,albergue,conjunto,3,unisexo,público,5,menos de 1 km,una vez a la semana,transporte público,bajo,mayor,regular,regular,regular,regular,rara vez,bastante a menudo,casi nunca,rara vez,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,licenciatura,licenciatura,casado,2.9,con familiares,nuclear,6,unisexo,privado,2,3–5 km,una vez a la semana,a pie,moderado,leve,nunca,nunca,ocasional,nunca,rara vez,a veces,rara vez,rara vez,moderado
adolescencia media,femenino,no,clase baja,mediano,primaria,licenciatura,divorciado,3.2,albergue,nuclear,5,unisexo,privado,4,menos de 1 km,casi todos los días,transporte privado,moderado,leve,regular,ocasional,nunca,nunca,bastante a menudo,rara vez,casi nunca,casi nunca,moderado
adolescencia tardía,femenino,no,clase baja,pequeño,primaria,posgrado,viudo,1.9,con familiares,nuclear,1,unisexo,público,4,menos de 1 km,casi todos los días,transporte público,bajo,moderado,nunca,ocasional,nunca,nunca,rara vez,a veces,casi siempre,bastante a menudo,bajo
adolescencia media,masculino,sí,clase baja,pequeño,primaria,primaria,soltero,2.3,con familiares,conjunto,2,unisexo,privado,3,1–3 km,nunca,a pie,bajo,leve,ocasional,regular,ocasional,ocasional,bastante a menudo,casi nunca,casi nunca,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-baja,grande,primaria,sin educación,casado,1.5,albergue,nuclear,5,mixto,público,6,más de 5 km,dos veces a la semana,transporte público,bajo,muy poco estrés,ocasional,regular,nunca,regular,bastante a menudo,casi siempre,rara vez,rara vez,bajo
adolescencia tardía,femenino,sí,clase baja,mediano,primaria,preparatoria,separado,1.8,con padres,nuclear,1,mixto,público,3,más de 5 km,dos veces a la semana,a pie,moderado,mayor,regular,nunca,nunca,regular,casi siempre,bastante a menudo,rara vez,casi siempre,bajo
otros,femenino,sí,clase baja,mediano,secundaria,primaria,divorciado,1.3,con padres,conjunto,1,unisexo,público,3,1–3 km,nunca,a pie,alto,moderado,ocasional,regular,regular,regular,algunas veces,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,alta,pequeño,sin educación,sin educación,separado,3.3,con familiares,nuclear,4,unisexo,privado,1,menos de 1 km,nunca,transporte público,moderado,grave,nunca,nunca,regular,ocasional,algunas veces,casi nunca,casi siempre,algunas veces,moderado
otros,femenino,no,clase media-baja,grande,secundaria,primaria,soltero,2.4,con familiares,nuclear,2,mixto,público,2,3–5 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,nunca,ocasional,ocasional,ocasional,algunas veces,casi nunca,bastante a menudo,bastante a menudo,bajo
otros,femenino,sí,alta,mediano,licenciatura,primaria,casado,3.1,con padres,nuclear,3,mixto,privado,7,menos de 1 km,dos veces a la semana,transporte privado,moderado,moderado,nunca,regular,regular,regular,bastante a menudo,casi nunca,bastante a menudo,bastante a menudo,moderado
otros,femenino,sí,alta,mediano,licenciatura,secundaria,casado,2.8,albergue,nuclear,5,mixto,público,5,3–5 km,dos veces a la semana,transporte público,alto,leve,regular,nunca,nunca,regular,casi siempre,bastante a menudo,algunas veces,rara vez,moderado
adolescencia tardía,femenino,no,clase media-alta,pequeño,licenciatura,sin educación,soltero,2.5,con padres,conjunto,4,mixto,público,2,3–5 km,dos veces a la semana,transporte privado,bajo,moderado,ocasional,regular,ocasional,ocasional,casi siempre,casi siempre,algunas veces,algunas veces,bajo
adolescencia media,femenino,no,clase media-alta,pequeño,secundaria,licenciatura,separado,0.9,con familiares,nuclear,6,unisexo,público,5,más de 5 km,casi todos los días,transporte privado,alto,moderado,ocasional,regular,regular,nunca,casi siempre,casi nunca,bastante a menudo,rara vez,bajo
adolescencia temprana,femenino,no,clase media-baja,grande,primaria,preparatoria,separado,3.4,con familiares,conjunto,2,unisexo,público,5,3–5 km,casi todos los días,transporte privado,alto,leve,ocasional,regular,regular,regular,casi nunca,casi siempre,rara vez,casi siempre,moderado
adolescencia temprana,femenino,sí,clase media-baja,pequeño,sin educación,posgrado,soltero,1.9,con padres,conjunto,5,mixto,público,4,menos de 1 km,una vez a la semana,transporte privado,bajo,muy poco estrés,nunca,regular,ocasional,regular,rara vez,rara vez,algunas veces,algunas veces,bajo
adolescencia temprana,femenino,sí,alta,pequeño,licenciatura,sin educación,soltero,2.3,con familiares,nuclear,1,unisexo,público,3,3–5 km,dos veces a la semana,transporte público,bajo,moderado,nunca,regular,nunca,ocasional,rara vez,a veces,bastante a menudo,algunas veces,bajo
otros,masculino,no,clase media-baja,grande,secundaria,licenciatura,divorciado,3.1,albergue,nuclear,5,mixto,público,2,1–3 km,casi todos los días,transporte público,alto,muy poco estrés,nunca,ocasional,regular,nunca,casi nunca,casi siempre,rara vez,algunas veces,moderado
adolescencia temprana,femenino,no,clase media-alta,mediano,secundaria,preparatoria,soltero,0.9,con familiares,conjunto,1,mixto,público,3,3–5 km,una vez a la semana,transporte público,bajo,muy poco estrés,ocasional,nunca,ocasional,nunca,bastante a menudo,rara vez,bastante a menudo,bastante a menudo,bajo
adolescencia temprana,femenino,no,clase media-alta,mediano,posgrado,secundaria,separado,2.4,con padres,nuclear,2,unisexo,privado,5,1–3 km,dos veces a la semana,transporte público,alto,leve,ocasional,nunca,ocasional,nunca,algunas veces,a veces,casi nunca,bastante a menudo,bajo
adolescencia temprana,femenino,no,clase baja,pequeño,posgrado,licenciatura,soltero,0.8,con padres,nuclear,2,mixto,privado,6,3–5 km,dos veces a la semana,transporte público,moderado,grave,ocasional,nunca,ocasional,nunca,algunas veces,bastante a menudo,bastante a menudo,bastante a menudo,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,primaria,primaria,soltero,4.4,con familiares,conjunto,6,mixto,público,3,3–5 km,una vez a la semana,a pie,moderado,mayor,nunca,regular,ocasional,regular,casi nunca,casi siempre,bastante a menudo,rara vez,moderado
adolescencia temprana,femenino,sí,alta,mediano,posgrado,primaria,casado,1.2,con familiares,nuclear,1,mixto,público,7,menos de 1 km,dos veces a la semana,transporte privado,moderado,grave,nunca,regular,ocasional,ocasional,bastante a menudo,a veces,casi siempre,algunas veces,bajo
otros,masculino,no,clase media-alta,pequeño,sin educación,posgrado,separado,5.1,con familiares,nuclear,2,unisexo,privado,5,menos de 1 km,dos veces a la semana,a pie,moderado,mayor,nunca,nunca,ocasional,nunca,algunas veces,casi nunca,algunas veces,algunas veces,moderado
adolescencia tardía,masculino,no,clase baja,pequeño,sin educación,sin educación,viudo,4.0,albergue,nuclear,5,unisexo,público,3,más de 5 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,nunca,nunca,ocasional,ocasional,bastante a menudo,casi siempre,casi nunca,rara vez,bajo
adolescencia media,femenino,sí,clase media-baja,grande,posgrado,secundaria,separado,4.8,albergue,conjunto,3,unisexo,privado,3,3–5 km,nunca,transporte privado,alto,grave,ocasional,regular,ocasional,nunca,rara vez,rara vez,algunas veces,casi nunca,moderado
otros,femenino,no,clase media-alta,pequeño,sin educación,posgrado,casado,1.7,albergue,nuclear,5,unisexo,privado,4,menos de 1 km,dos veces a la semana,transporte privado,bajo,grave,ocasional,regular,nunca,regular,algunas veces,a veces,rara vez,rara vez,bajo
adolescencia tardía,femenino,sí,clase media-alta,mediano,preparatoria,sin educación,casado,2.0,albergue,nuclear,5,unisexo,público,2,1–3 km,casi todos los días,transporte privado,moderado,grave,regular,regular,nunca,nunca,rara vez,a veces,casi siempre,bastante a menudo,bajo
adolescencia media,femenino,sí,alta,mediano,licenciatura,primaria,casado,1.6,con familiares,nuclear,4,mixto,privado,4,1–3 km,una vez a la semana,a pie,bajo,mayor,nunca,regular,ocasional,regular,algunas veces,casi nunca,rara vez,casi nunca,bajo
otros,femenino,no,alta,grande,sin educación,sin educación,viudo,2.9,con familiares,conjunto,5,mixto,privado,4,3–5 km,casi todos los días,transporte público,alto,muy poco estrés,ocasional,regular,nunca,nunca,algunas veces,bastante a menudo,bastante a menudo,algunas veces,moderado
adolescencia tardía,femenino,sí,clase media-baja,mediano,sin educación,secundaria,separado,3.2,con familiares,conjunto,4,unisexo,público,1,1–3 km,una vez a la semana,a pie,alto,muy poco estrés,regular,regular,regular,regular,casi siempre,casi nunca,casi nunca,casi siempre,moderado
adolescencia media,masculino,sí,clase media-baja,grande,secundaria,licenciatura,divorciado,2.4,con padres,nuclear,6,mixto,público,2,3–5 km,nunca,transporte público,bajo,mayor,regular,nunca,ocasional,ocasional,algunas veces,bastante a menudo,rara vez,bastante a menudo,bajo
otros,femenino,no,clase media-alta,pequeño,secundaria,posgrado,divorciado,0.0,con padres,conjunto,3,mixto,privado,1,menos de 1 km,nunca,transporte privado,alto,grave,nunca,regular,ocasional,ocasional,algunas veces,bastante a menudo,casi siempre,rara vez,bajo
otros,masculino,sí,alta,grande,primaria,preparatoria,casado,4.1,con familiares,nuclear,5,mixto,privado,3,más de 5 km,una vez a la semana,transporte público,moderado,mayor,regular,regular,nunca,regular,rara vez,rara vez,casi siempre,rara vez,moderado
adolescencia tardía,masculino,sí,clase baja,mediano,preparatoria,posgrado,viudo,1.9,con padres,nuclear,4,unisexo,público,1,1–3 km,nunca,a pie,alto,muy poco estrés,ocasional,ocasional,ocasional,regular,casi nunca,a veces,casi siempre,rara vez,bajo
adolescencia tardía,femenino,sí,alta,grande,preparatoria,posgrado,divorciado,1.7,con familiares,nuclear,5,mixto,público,5,3–5 km,dos veces a la semana,a pie,bajo,grave,regular,ocasional,nunca,nunca,rara vez,casi nunca,algunas veces,casi nunca,bajo
adolescencia media,femenino,no,clase media-alta,grande,posgrado,posgrado,viudo,2.3,albergue,nuclear,6,unisexo,público,2,1–3 km,dos veces a la semana,a pie,alto,leve,ocasional,regular,regular,ocasional,casi siempre,casi nunca,algunas veces,bastante a menudo,bajo
adolescencia temprana,masculino,sí,clase media-baja,pequeño,posgrado,primaria,casado,1.8,con familiares,conjunto,3,mixto,público,3,más de 5 km,nunca,transporte privado,moderado,moderado,regular,regular,ocasional,nunca,casi nunca,casi siempre,casi siempre,rara vez,bajo
